Date,Product Name,Category,Quantity Sold,Price Per Unit
1,2024-01-09,Sunglasses,Accessories,10.0,138.0
2,2024-02-17,Backpack,Accessories,5.0,165.0
3,2024-02-06,Headphones,Electronics,10.0,880.0
4,2024-02-01,Belt,Accessories,9.0,241.0
5,2024-01-16,Tablet,Electronics,6.0,765.0
6,2024-01-31,Sofa,Furniture,9.0,591.0
7,2024-02-21,Sofa,Furniture,10.0,20.0
9,2024-01-24,Hat,Accessories,3.0,742.0
10,2024-01-11,Smartwatch,Electronics,9.0,282.0
11,2024-01-11,Jacket,Clothing,9.0,897.0
12,2024-01-18,Shoes,Clothing,5.0,74.0
13,2024-01-12,Pen,Office Supplies,10.0,91.0
14,2024-01-21,Desk,Furniture,2.0,212.0
15,2024-04-08,Smartphone,Electronics,1.0,505.13
16,2024-01-21,Scarf,Accessories,1.0,890.0
17,2024-04-18,Bookshelf,Furniture,10.0,980.0
18,2024-03-02,Sweater,Clothing,10.0,657.0
19,2024-02-11,Smartwatch,Electronics,2.0,633.0
20,2024-03-05,Laptop,Electronics,10.0,865.0
21,2024-05-21,Hat,Accessories,6.0,660.0
22,2024-03-17,Headphones,Electronics,1.0,266.0
23,2024-02-08,Sofa,Furniture,4.0,383.0
24,2024-03-06,Laptop,Electronics,1.0,968.0
25,2024-03-02,Chair,Furniture,9.0,456.0
26,2024-03-03,Printer,Office Supplies,4.0,57.0
27,2024-03-27,Sofa,Furniture,3.0,588.0
28,2024-03-20,Table,Furniture,4.0,947.0
29,2024-03-31,Hat,Accessories,7.0,172.0
30,2024-04-09,Smartphone,Electronics,10.0,792.0
31,2024-04-13,Smartwatch,Electronics,8.0,934.0
32,2024-04-17,Backpack,Accessories,6.0,838.0
33,2024-04-04,T-Shirt,Clothing,4.0,229.0
34,2024-04-19,Bookshelf,Furniture,4.0,903.0
35,2024-04-22,Desk,Furniture,1.0,288.0
36,2024-04-21,Chair,Furniture,5.0,240.0
37,2024-04-04,Jacket,Clothing,9.0,997.0
38,2024-05-16,Hat,Accessories,4.0,643.0
39,2024-06-12,Monitor,Office Supplies,2.0,330.0
40,2024-06-06,Chair,Furniture,4.0,995.0
41,2024-06-14,Sofa,Furniture,8.0,502.0
42,2024-06-11,Shoes,Clothing,8.0,220.0
44,2024-06-14,Bookshelf,Furniture,5.0,505.13
45,2024-05-13,Laptop,Electronics,7.0,905.0
46,2024-05-09,Bookshelf,Furniture,4.0,800.0
47,2024-04-12,Smartphone,Electronics,10.0,79.0
